artist_id,name,type,album_name,descripcion,album_year,album_format,album_id,uri,albums
1,The Persuader,artist,Kaos,"Electronic artist working out of Stockholm, active since 1994.",1997,"10""",20209,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Snorkelmannen Ø Hans Vänner,"Electronic artist working out of Stockholm, active since 1994.",1997,"12""",62584,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Stockholm By Night,"Electronic artist working out of Stockholm, active since 1994.",1997,0,321212,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,City Of Islands,"Electronic artist working out of Stockholm, active since 1994.",1998,0,4242,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Pleasure,"Electronic artist working out of Stockholm, active since 1994.",1998,0,4250,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Morgon Sol,"Electronic artist working out of Stockholm, active since 1994.",1998,0,374577,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,A View From Slussen,"Electronic artist working out of Stockholm, active since 1994.",1998,0,3506685,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Stockholm,"Electronic artist working out of Stockholm, active since 1994.",1999,"CD, Album",24200,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Stockholm,"Electronic artist working out of Stockholm, active since 1994.",1999,0,1660109,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Central Bron,"Electronic artist working out of Stockholm, active since 1994.",2001,0,2466976,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Autumn Leaves EP,"Electronic artist working out of Stockholm, active since 1994.",2013,0,863513,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,Fusion Of Thoughts,"Electronic artist working out of Stockholm, active since 1994.",2013,0,637047,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
1,The Persuader,artist,The Persuader EP1,"Electronic artist working out of Stockholm, active since 1994.",2014,"12"", EP",5516176,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases
